name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
MM4,E2,2,5/27/22,3945.5,0.45045045,2.0,1.0,3944.4322916666665,4034.85693506006,3944.26806493994,1.0229255826187793,0.9775882204841453,15.288234727178278,161.84886398127614,15.263331698433953,0.04122423360224109,0.039397123165954256
MM4,E3,2,5/27/22,3409.75,0.225225225,4.0,1.0,3408.6822916666665,4034.631709834835,3408.743290165165,1.1836305538097118,0.8448582176096533,19.295425737895254,161.84823714338478,19.293797530873483,0.047950594278824865,0.034226434494563154
MM4,E4,2,5/27/22,4366.25,0.112612613,8.0,1.0,4365.182291666667,4034.631709834835,4365.2432901651655,0.9242767104008709,1.0819270774076812,19.31269326306661,161.84823714338478,19.311066511951314,0.03730131014063477,0.04366365289722706
MM4,F1,2,5/27/22,3369.5,0.900900901,1.0,1.0,3368.4322916666665,4034.631709834835,3368.493290165165,1.1977737109090407,0.8348822410211844,12.79570713455487,161.84823714338478,12.79325173007268,0.04826248402475067,0.033640319914228646
MM4,F2,2,5/27/22,3943.75,0.45045045,2.0,1.0,3942.6822916666665,4035.0821602852857,3942.2928397147143,1.0234381037572302,0.9770986602206967,12.368513292764789,161.84907292670044,12.267237991389283,0.041177634062612815,0.03931318457455162
MM4,F3,2,5/27/22,3534.75,0.225225225,4.0,1.0,3533.6822916666665,4034.631709834835,3533.743290165165,1.1417616892439162,0.8758395113626627,10.343119503964868,161.84823714338478,10.340081712878655,0.04592243433465208,0.03522686286214429
MM4,F4,2,5/27/22,4269.25,0.112612613,8.0,1.0,4268.182291666667,4034.631709834835,4268.2432901651655,0.9452818019136874,1.057885593455346,14.525154769340508,161.84823714338478,14.522991765783125,0.03805529747080783,0.042588517908124485
MM4,G1,2,5/27/22,3312.0,0.900900901,1.0,2.0,3310.9322916666665,4034.631709834835,3310.993290165165,1.2185747160279106,0.8206308458948,29.945452427260125,161.84823714338478,29.944403313958496,0.05010897142575549,0.033745134432195324
MM4,G2,2,5/27/22,3806.0,0.45045045,2.0,2.0,3804.9322916666665,4034.631709834835,3804.993290165165,1.0603678904669496,0.9430689188066931,10.427373642164092,161.84823714338478,10.424360403833301,0.042634793170276665,0.037918489101866126
MM4,G3,2,5/27/22,3868.25,0.225225225,4.0,2.0,3867.1822916666665,4034.631709834835,3867.243290165165,1.043299426905468,0.9584976030956918,11.703850694250095,161.84823714338478,11.701166173890856,0.04196990373993607,0.0385584915504134
MM4,G4,2,5/27/22,4324.25,0.112612613,8.0,2.0,4323.182291666667,4034.631709834835,4323.2432901651655,0.9332559926737761,1.07151736270667,6.75624065142479,161.84823714338478,6.751589182975666,0.03746508654033935,0.043015518827013065
MM4,H1,2,5/27/22,3902.75,0.900900901,1.0,2.0,3901.6822916666665,4034.631709834835,3901.743290165165,1.03407436324765,0.9670484401715224,27.862402165043687,161.84823714338478,27.86127461481869,0.04213305749696296,0.03940210586415744
MM4,H2,2,5/27/22,3681.75,0.45045045,2.0,2.0,3680.6822916666665,4034.631709834835,3680.743290165165,1.096162484113986,0.9122735128162017,21.839874566336203,161.84823714338478,21.83843606646337,0.044449944532728713,0.03699315350692209
MM4,H3,2,5/27/22,3766.5,0.225225225,4.0,2.0,3765.4322916666665,4034.631709834835,3765.493290165165,1.07149114270666,0.9332788299807421,13.381459352650255,161.84823714338478,13.379111448909457,0.043150182151163965,0.037584213164624514
MM4,H4,2,5/27/22,4155.5,0.112612613,8.0,2.0,4154.432291666667,4034.631709834835,4154.4932901651655,0.9711636116694584,1.0296926161401074,14.38969959403711,161.84823714338478,14.387516226310257,0.039102265455768025,0.041458837141705625
PA14 WT,A1,1,5/27/22,2044.5,0.900900901,1.0,1.0,2043.4322916666665,4082.1542323573576,1995.9707676426426,2.0214187370582284,0.49470205339805073,12.371881603322405,161.84886398127614,12.62972030873829,0.08209000814523953,0.020089897678505043
PA14 WT,A2,1,5/27/22,2503.5,0.45045045,2.0,1.0,2502.4322916666665,4064.5866647897897,2472.5383352102103,1.6318018818463786,0.6128194918297944,27.283635896631672,161.84886398127614,26.92614607745544,0.06782753159788729,0.02547247549368847
PA14 WT,A3,1,5/27/22,2675.0,0.225225225,4.0,1.0,2673.9322916666665,4049.9470251501502,2658.6779748498498,1.5175559983195013,0.6589542666678342,34.90076581404247,161.84823714338478,34.89986566109309,0.06405189225662497,0.02781265912914619
