,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
282,282,149.35,F11,3,0.0625,16,MM noC,PA14 dphz dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
283,283,224.037,F11,3,0.0625,16,MM noC,PA14 dphz dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
285,285,74.668,F12,2,0.03125,32,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
286,286,149.35,F12,2,0.03125,32,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
287,287,224.037,F12,2,0.03125,32,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
289,289,74.668,G1,13,1.0,1,MM noC,PA14 dphz,2,1,12/3/21,11.98611111111111,0.11785113019775789
290,290,149.35,G1,13,1.0,1,MM noC,PA14 dphz,2,1,12/3/21,11.98611111111111,0.11785113019775789
291,291,224.037,G1,13,1.0,1,MM noC,PA14 dphz,2,1,12/3/21,11.98611111111111,0.11785113019775789
293,293,74.668,G2,8,0.5,2,MM noC,PA14 dphz,2,1,12/3/21,6.986111111111111,0.11785113019775789
294,294,149.35,G2,8,0.5,2,MM noC,PA14 dphz,2,1,12/3/21,6.986111111111111,0.11785113019775789
295,295,224.037,G2,8,0.5,2,MM noC,PA14 dphz,2,1,12/3/21,6.986111111111111,0.11785113019775789
297,297,74.668,G3,5,0.25,4,MM noC,PA14 dphz,2,1,12/3/21,3.986111111111111,0.11785113019775789
298,298,149.35,G3,5,0.25,4,MM noC,PA14 dphz,2,1,12/3/21,3.986111111111111,0.11785113019775789
299,299,224.037,G3,5,0.25,4,MM noC,PA14 dphz,2,1,12/3/21,3.986111111111111,0.11785113019775789
301,301,74.668,G4,3,0.125,8,MM noC,PA14 dphz,2,1,12/3/21,1.9861111111111112,0.11785113019775789
302,302,149.35,G4,3,0.125,8,MM noC,PA14 dphz,2,1,12/3/21,1.9861111111111112,0.11785113019775789
